uniqueID,lake,stateCountry,surfaceArea_km2,meanDepth_vol_SA_m,inflowRate_Q_m3_s,hrt_years,Tpout_mg_m3,loadingConstant_kgP_yr,volume_10^6m3,loadingM2_mgTP_m2yr,TPout/TPin,Rp,TPin_mg_m3,K_1_year,depth_10_z,flushingRate_1_years,qs_m_years_flush,qs_m_years_SA
289,Rome,Wisc,1.8,0.6,2.2,0.02,102,6068,1.1,3371,1.166,-0.166,87,-8.67,16.67,60.8,36.5,38.54
290,Grand,Wisc,1.0,1.2,1.2,0.03,190,8118,1.1,8545,0.886,0.114,215,4.28,8.33,33.2,39.8,39.83
291,Willow,Wisc,20.8,4.6,9.2,0.33,29,9669,95.6,465,0.870,0.130,33,0.46,2.17,3.1,14.1,13.96
292,Boren,Sweden,28.0,6.0,20.3,0.29,22.8,32200,170,1150,0.453,0.547,50,4.15,1.67,3.4,20.6,22.88
293,Esrum,Denmark,17.3,12.3,0.48,14.57,238.0,9227,218,533,0.390,0.610,611,0.11,0.81,0.1,0.8,0.87
294,Gjersjø,Norway,2.7,22.7,0.53,4.70,26.9,1958,69,725,0.228,0.772,118,0.72,0.44,0.2,4.8,6.15
295,Mälaren,Sweden,20.2,17.1,10.08,1.24,69.3,56560,346,2800,0.390,0.610,178,1.26,0.58,0.8,13.7,15.74
296,Mjøsa,Norway,365.0,153.0,290.49,6.18,10.0,273750,56244,750,0.335,0.665,30,0.32,0.07,0.2,24.8,25.10
297,Mossø-1,Denmark,13.1,10.3,1.90,2.30,136.7,11790,136,900,0.696,0.304,197,0.19,0.97,0.4,4.5,4.58
298,Mossø-2,Denmark,0.4,2.9,6.44,0.0049,163.3,32000,1,80000,1.036,-0.036,158,-7.08,3.45,203.0,588.7,507.50
299,Paajarvi,Finland,13.4,14.4,1.81,4.13,9.4,4403,206,329,0.122,0.878,77,1.74,0.69,0.2,3.5,4.26
300,Päijänne-1,Finland,142.0,18.0,153.43,0.56,24.4,146733,2530,1033,0.806,0.194,30,0.43,0.56,1.8,31.9,34.08
301,Päijänne-2,Finland,166.0,20.0,163.96,0.72,16.0,107900,3288,650,0.767,0.233,21,0.42,0.50,1.4,27.8,31.15
302,Päijänne-3,Finland,45.0,15.0,66.21,0.32,33.7,69750,652,1550,1.009,-0.009,33,-0.03,0.67,3.1,46.6,46.40
303,Päijänne-4,Finland,143.0,21.0,169.20,0.58,17.1,114400,3078,800,0.798,0.202,21,0.44,0.48,1.7,36.4,37.31
304,Päijänne-5,Finland,582.0,14.0,251.09,1.10,12.1,174600,8252,300,0.549,0.451,22,0.75,0.71,0.9,12.8,13.61
305,Tuusulan,Finland,6.0,3.1,0.82,1.07,110.3,10000,20,1667,0.287,0.713,385,2.32,3.23,0.9,2.9,4.33
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
